Original_ID,B2,B3,B4,B8,B11,B12,NDVI,NDBI,MNDWI,Class,lon,lat,system:index,RF_Pred,prob_1,prob_2,prob_3,margin
10176,375.0,431.0,199.0,98.0,58.0,49.0,-0.3400673270225525,-0.25641027092933655,0.7627812027931213,3,118.63346049300952,29.42047542637684,10176,3,0.0,0.0,1.0,1.0
10177,390.0,514.0,275.0,95.0,66.0,57.0,-0.4864864945411682,-0.1801242232322693,0.7724137902259827,3,118.60489549166118,29.42065379041897,10177,3,0.0,0.0,1.0,1.0
10178,356.0,419.0,187.0,108.0,59.0,46.0,-0.2677966058254242,-0.2934131622314453,0.7531380653381348,3,118.62888099622764,29.42074297244005,10178,3,0.0,0.0,1.0,1.0
10179,402.0,473.0,275.0,309.0,803.0,552.0,0.05821917951107025,0.4442445933818817,-0.2586206793785095,3,118.79282430555863,29.420832154461102,10179,3,0.03,0.0,0.97,0.94
10180,360.0,413.0,200.0,130.0,104.0,77.0,-0.21212121844291687,-0.1111111119389534,0.5976788997650146,3,118.65708926949178,29.421014977604305,10180,3,0.0,0.0,1.0,1.0
10181,357.0,421.0,194.0,99.0,57.0,46.0,-0.3242320716381073,-0.26923078298568726,0.7615062594413757,3,118.63427204940129,29.42110415962537,10181,3,0.0,0.0,1.0,1.0
10182,321.0,375.0,178.0,142.0,101.0,72.0,-0.11249999701976776,-0.16872428357601166,0.575630247592926,3,118.80234448630772,29.421193341646443,10182,3,0.0,0.0,1.0,1.0
10183,349.0,471.0,303.0,227.0,232.0,167.0,-0.14339622855186462,0.010893246158957481,0.33997154235839844,3,118.53536472893478,29.42128252366751,10183,3,0.0,0.0,1.0,1.0
10184,356.0,361.0,178.0,106.0,70.0,48.0,-0.2535211145877838,-0.20454545319080353,0.6751739978790283,3,118.71943196131997,29.42137170568859,10184,3,0.0,0.0,1.0,1.0
10185,322.0,390.0,191.0,155.0,94.0,68.0,-0.10404624044895172,-0.24497991800308228,0.6115702390670776,3,118.80081947374748,29.421643710852837,10185,3,0.0,0.0,1.0,1.0
10186,311.0,358.0,164.0,89.0,80.0,56.0,-0.2964426875114441,-0.05325443670153618,0.6347032189369202,3,118.80863627789417,29.421911256916044,10186,3,0.0,0.0,1.0,1.0
10187,382.0,436.0,202.0,118.0,57.0,49.0,-0.26249998807907104,-0.34857141971588135,0.7687626481056213,3,118.62582651200603,29.42236162612244,10187,3,0.0,0.0,1.0,1.0
10188,320.0,366.0,186.0,142.0,101.0,78.0,-0.13414634764194489,-0.16872428357601166,0.5674518346786499,3,118.80441350919654,29.42236162612244,10188,3,0.0,0.0,1.0,1.0
10189,553.0,723.0,496.0,193.5,112.5,78.5,-0.43872371315956116,-0.2647058963775635,0.7307001948356628,3,119.53617874667333,29.42236162612244,10189,3,0.0,0.0,1.0,1.0
10190,366.0,418.0,197.0,104.0,55.0,43.0,-0.3089700937271118,-0.30817610025405884,0.7674418687820435,3,118.63373249817379,29.422450808143516,10190,3,0.0,0.0,1.0,1.0
10191,340.0,357.0,164.0,110.0,60.0,50.0,-0.19708029925823212,-0.29411765933036804,0.7122302055358887,3,118.72275399160478,29.422450808143516,10191,3,0.0,0.0,1.0,1.0
10192,393.0,521.0,246.0,119.0,68.0,55.0,-0.3479452133178711,-0.27272728085517883,0.7691001892089844,3,118.62348994305404,29.422811995328843,10192,3,0.0,0.0,1.0,1.0
10193,407.0,509.0,253.0,144.0,113.0,82.0,-0.2745591998100281,-0.12062256783246994,0.6366559267044067,3,118.6113656472897,29.423619092619507,10193,3,0.0,0.0,1.0,1.0
10194,356.0,430.0,191.0,131.0,60.0,46.0,-0.18633539974689484,-0.37172773480415344,0.7551020383834839,3,118.6291530013919,29.423708274640575,10194,3,0.0,0.0,1.0,1.0
10195,365.0,392.0,195.0,124.0,74.0,53.0,-0.222570538520813,-0.2525252401828766,0.6824034452438354,3,118.72086779185918,29.423708274640575,10195,3,0.0,0.0,1.0,1.0
10196,366.0,425.0,206.0,128.0,58.0,46.0,-0.23353293538093567,-0.37634408473968506,0.759834349155426,3,118.62807389893695,29.42397582070379,10196,3,0.0,0.0,1.0,1.0
10197,354.0,378.0,206.0,162.0,153.0,98.0,-0.1195652186870575,-0.02857142873108387,0.4237288236618042,3,118.67370833911794,29.42397582070379,10197,3,0.0,0.0,1.0,1.0
10198,321.0,382.0,212.0,193.0,367.0,206.0,-0.04691357910633087,0.3107142746448517,0.02002670243382454,3,118.73425401322162,29.42397582070379,10198,3,0.0,0.0033333333333333335,0.9966666666666667,0.9933333333333334
10199,444.0,592.0,309.0,162.0,99.0,65.0,-0.31210190057754517,-0.24137930572032928,0.713458776473999,3,118.60274174585236,29.42406946182592,10199,3,0.0,0.0,1.0,1.0
10200,302.0,331.0,178.0,248.0,436.0,217.0,0.16431924700737,0.27485379576683044,-0.1368969976902008,3,118.65322768797945,29.424158643846972,10200,3,0.0033333333333333335,0.0033333333333333335,0.9933333333333333,0.99
10201,459.0,611.0,369.0,191.0,168.0,117.0,-0.31785714626312256,-0.06406684964895248,0.5686777830123901,3,118.60067272296355,29.424337007889125,10201,3,0.0,0.0,1.0,1.0
10202,356.0,389.0,169.0,117.0,69.0,50.0,-0.1818181872367859,-0.25806450843811035,0.6986899375915527,3,118.72437264528718,29.424604553952324,10202,3,0.0,0.0,1.0,1.0
10203,303.0,343.0,156.0,80.0,72.0,55.0,-0.32203391194343567,-0.05263157933950424,0.6530120372772217,3,118.81168630301471,29.424604553952324,10203,3,0.0,0.0,1.0,1.0
10204,352.0,376.0,185.0,126.0,72.0,51.0,-0.1897106170654297,-0.27272728085517883,0.6785714030265808,3,118.72410064012294,29.42478737709552,10204,3,0.0,0.0,1.0,1.0
10205,366.0,433.0,194.0,123.0,72.0,50.0,-0.22397476434707642,-0.26153847575187683,0.7148514986038208,3,118.63220302651246,29.425054923158726,10205,3,0.0,0.0,1.0,1.0
10206,387.0,470.0,209.0,109.0,65.0,56.0,-0.31446540355682373,-0.25287356972694397,0.7570093274116516,3,118.62456904550898,29.425144105179797,10206,3,0.0,0.0,1.0,1.0
10207,374.0,454.0,205.0,118.0,61.0,48.0,-0.2693498432636261,-0.31843575835227966,0.7631068229675293,3,118.62555896594284,29.425144105179797,10207,3,0.0,0.0,1.0,1.0
10208,360.0,427.0,206.0,117.0,75.0,54.0,-0.2755417823791504,-0.21875,0.701195240020752,3,118.6333713109885,29.425326928322985,10208,3,0.0,0.0,1.0,1.0
10209,305.0,334.0,174.0,114.0,73.0,56.0,-0.2083333283662796,-0.2192513346672058,0.6412776708602905,3,118.73371446199417,29.425416110344052,10209,3,0.0,0.0,1.0,1.0
